activation,lr,batch_size,epochs,MAE,MSE,Spearman
leaky_relu,0.1,10,10,5.7771196365356445,48.607643127441406,0.23055993530442645
leaky_relu,0.1,10,30,5.956587314605713,51.056251525878906,0.13269705792354095
leaky_relu,0.1,10,50,5.914917469024658,49.60411071777344,0.15225808615754924
leaky_relu,0.1,10,100,6.046568870544434,53.434478759765625,0.14231975973090435
leaky_relu,0.1,10,200,6.169366359710693,54.23711013793945,0.11244704424012546
leaky_relu,0.1,20,10,6.945980548858643,65.5029067993164,0.15770068629979392
leaky_relu,0.1,20,30,5.854291915893555,49.53642654418945,0.19215380785087777
leaky_relu,0.1,20,50,6.246142387390137,54.109317779541016,0.07668523524324022
leaky_relu,0.1,20,100,5.8855791091918945,49.516387939453125,0.18749257109539097
leaky_relu,0.1,20,200,7.144316673278809,69.06195831298828,0.16163059771792115
leaky_relu,0.1,50,10,7.8157267570495605,93.68053436279297,0.11425611217990977
leaky_relu,0.1,50,30,6.271017551422119,53.82707214355469,0.18104920996518042
leaky_relu,0.1,50,50,6.1318511962890625,50.7589225769043,0.21851231264160753
leaky_relu,0.1,50,100,6.04256534576416,50.4990234375,0.20567947751130775
leaky_relu,0.1,50,200,7.247824192047119,73.37090301513672,0.255879188299961
leaky_relu,0.1,70,10,9.011189460754395,126.00784301757812,0.1680585625252399
leaky_relu,0.1,70,30,6.758844375610352,62.995338439941406,0.12583414699452938
leaky_relu,0.1,70,50,6.269834995269775,55.58181381225586,0.08429871691322612
leaky_relu,0.1,70,100,6.30213737487793,54.02998733520508,0.1698406868999636
leaky_relu,0.1,70,200,6.125668048858643,51.624305725097656,0.21607584454398313
leaky_relu,0.1,100,10,10.493794441223145,199.12973022460938,0.299543160021053
leaky_relu,0.1,100,30,6.968630790710449,69.56887817382812,0.18340099828690004
leaky_relu,0.1,100,50,6.139499664306641,52.50084686279297,0.15760830836244327
leaky_relu,0.1,100,100,7.523425102233887,79.64319610595703,0.15575690053470653
leaky_relu,0.1,100,200,7.167435646057129,71.52874755859375,0.1703603127975612
leaky_relu,0.01,10,10,6.135080337524414,53.40166091918945,0.15943277262511935
leaky_relu,0.01,10,30,6.097370147705078,51.10531997680664,0.13556077398141228
leaky_relu,0.01,10,50,6.9644455909729,65.49552154541016,0.18595678788693573
leaky_relu,0.01,10,100,6.579422473907471,59.142459869384766,0.14243523215259268
leaky_relu,0.01,10,200,7.354475021362305,76.34174346923828,0.12467172461619991
leaky_relu,0.01,20,10,6.668029308319092,62.76997756958008,0.16131882217936258
leaky_relu,0.01,20,30,6.41624641418457,57.54776382446289,0.10404065194121281
leaky_relu,0.01,20,50,6.873691558837891,64.1578140258789,0.07546122757334359
leaky_relu,0.01,20,100,7.104161262512207,70.40470886230469,0.07423337082272402
leaky_relu,0.01,20,200,7.728245735168457,83.13238525390625,0.10209301709540247
leaky_relu,0.01,50,10,6.6332902908325195,61.85401153564453,0.1151914387955855
leaky_relu,0.01,50,30,7.789348125457764,86.38276672363281,0.08581525471806659
leaky_relu,0.01,50,50,8.043188095092773,90.93608856201172,0.13526824384646843
leaky_relu,0.01,50,100,8.015054702758789,89.80255889892578,0.15665758542387576
leaky_relu,0.01,50,200,8.833396911621094,108.4441909790039,0.1740939210988182
leaky_relu,0.01,70,10,8.077712059020996,100.03849029541016,0.07318642086608289
leaky_relu,0.01,70,30,6.9050493240356445,65.92496490478516,0.19624922974009162
leaky_relu,0.01,70,50,6.499463081359863,57.640071868896484,0.1389056251296518
leaky_relu,0.01,70,100,7.540489673614502,78.98997497558594,0.1364807042741962
leaky_relu,0.01,70,200,7.653961181640625,81.90525817871094,0.20104903340160446
leaky_relu,0.01,100,10,10.702668190002441,212.10069274902344,0.20727684601133006
leaky_relu,0.01,100,30,7.049538612365723,68.39607238769531,0.11437928276304402
leaky_relu,0.01,100,50,6.742995738983154,62.491355895996094,0.18807763136527864
leaky_relu,0.01,100,100,6.612473011016846,57.95110321044922,0.15168072404910743
leaky_relu,0.01,100,200,7.477188587188721,78.82032775878906,0.20850085368122667
leaky_relu,0.001,10,10,6.327366352081299,57.01729202270508,0.14049144638750527
leaky_relu,0.001,10,30,7.1012492179870605,69.57168579101562,0.14731971559001034
leaky_relu,0.001,10,50,6.738337993621826,61.404964447021484,0.17299693309277875
leaky_relu,0.001,10,100,6.614609718322754,61.84098434448242,0.19368574197861002
leaky_relu,0.001,10,200,7.121999263763428,70.60041046142578,0.15372073683226842
leaky_relu,0.001,20,10,6.411960601806641,58.4187126159668,0.16763516364571587
leaky_relu,0.001,20,30,7.100403785705566,68.63226318359375,0.1318772037295536
leaky_relu,0.001,20,50,7.227252006530762,74.43016052246094,0.20101439167509796
leaky_relu,0.001,20,100,7.170353889465332,70.68450927734375,0.12067252974505967
leaky_relu,0.001,20,200,7.231503486633301,72.49610900878906,0.20584883706311732
leaky_relu,0.001,50,10,7.246343612670898,78.21685028076172,0.17901689534346532
leaky_relu,0.001,50,30,6.90778923034668,64.70835876464844,0.1792632365097338
leaky_relu,0.001,50,50,7.303226947784424,74.50263977050781,0.15736196719617476
leaky_relu,0.001,50,100,7.477209568023682,78.35313415527344,0.2135585457511769
leaky_relu,0.001,50,200,8.391654014587402,97.30303192138672,0.16277377469263593
leaky_relu,0.001,70,10,7.030439376831055,76.40008544921875,0.17104929824696843
leaky_relu,0.001,70,30,6.681820392608643,60.82358169555664,0.17763892444465085
leaky_relu,0.001,70,50,6.68801736831665,62.34038543701172,0.2338201066767612
leaky_relu,0.001,70,100,7.224496364593506,71.99378204345703,0.19076044062917155
leaky_relu,0.001,70,200,8.113770484924316,92.42388916015625,0.1651909973866456
leaky_relu,0.001,100,10,8.471399307250977,103.93098449707031,0.12765476217648253
leaky_relu,0.001,100,30,6.415012836456299,60.67885971069336,0.12423677849450707
leaky_relu,0.001,100,50,6.531543254852295,59.582122802734375,0.11549166709197524
leaky_relu,0.001,100,100,7.015827178955078,66.66419982910156,0.18047954601818453
leaky_relu,0.001,100,200,7.898959159851074,85.41173553466797,0.16540654590713053
