activation,lr,batch_size,epochs,MAE,MSE,Spearman
leaky_relu,0.1,10,10,5.777119637,48.60764313,0.2305599353
leaky_relu,0.1,20,100,5.885579109,49.51638794,0.1874925711
leaky_relu,0.1,20,30,5.854291916,49.53642654,0.1921538079
leaky_relu,0.1,10,50,5.914917469,49.60411072,0.1522580862
elu,0.1,10,200,5.86289072,49.6249733,0.1887704659
leaky_relu,0.1,50,100,6.042565346,50.49902344,0.2056794775
elu,0.1,10,30,6.043417931,50.50227737,0.08667359972
swish,0.1,20,30,5.922663689,50.59460831,0.1897943214
leaky_relu,0.1,50,50,6.131851196,50.75892258,0.2185123126
tanh,0.001,70,200,6.119603157,51.04866028,0.1538670019
leaky_relu,0.1,10,30,5.956587315,51.05625153,0.1326970579
sigmoid,0.1,10,30,6.030078888,51.07923889,0.02648932655
leaky_relu,0.01,10,30,6.097370148,51.10531998,0.135560774
tanh,0.1,10,30,6.035099506,51.10961151,
tanh,0.1,20,50,6.045481682,51.19394302,
tanh,0.1,70,50,6.048529148,51.22421265,
sigmoid,0.1,50,100,6.065236092,51.32593918,
tanh,0.1,20,100,6.067280769,51.3368721,
sigmoid,0.1,100,100,5.971722603,51.39428329,
sigmoid,0.1,10,200,6.08369112,51.43167496,
swish,0.01,50,50,6.006062508,51.50282288,0.108047545
swish,0.1,10,100,6.020859241,51.51362991,0.08639261683
tanh,0.1,20,200,6.106625557,51.58524323,
leaky_relu,0.1,70,200,6.125668049,51.62430573,0.2160758445
sigmoid,0.1,50,200,6.112731457,51.63027573,
swish,0.1,20,100,6.129002094,51.68245316,0.2180234794
tanh,0.1,10,100,6.130009651,51.76712799,
sigmoid,0.1,50,10,6.038859367,51.78615952,-0.08103469646
sigmoid,0.1,50,50,6.153441429,51.95597458,0.120340517
sigmoid,0.1,10,10,6.163442612,52.06641006,-0.03474214111
swish,0.1,50,50,6.07711792,52.11218643,0.1623965648
swish,0.1,70,50,6.049875259,52.23834991,0.1305223273
tanh,0.001,100,100,6.200819016,52.37720871,0.1395869124
tanh,0.001,70,100,6.195420265,52.42411041,0.07543813309
leaky_relu,0.1,100,50,6.139499664,52.50084686,0.1576083084
sigmoid,0.1,20,10,6.210260391,52.58560562,
swish,0.01,10,100,6.231866837,52.66781616,0.114487057
sigmoid,0.1,70,30,6.219287395,52.71931839,0.15737853
