Country,Song,Performer,Predicted_Place
Albania,Zjerm,Shkodra Elektronike,9.8
Armenia,SURVIVOR,PARG,13.7
Australia,Milkshake Man,Go-Jo,10.5
Austria,Wasted Love,JJ,14.8
Azerbaijan,Run With U,Mamagama,2.1
Belgium,Strobe Lights,Red Sebastian,2.7
Croatia,Poison Cake,Marko Bošnjak,12.8
Cyprus,Shh,Theo Evan,15.7
Czech Republic,Kiss Kiss Goodbye,ADONXS,6.6
Denmark,Hallucination,Sissal,3.7
Estonia,Espresso Macchiato,Tommy Cash,14.0
Finland,ICH KOMME,Erika Vikman,8.2
France,maman,Louane,11.0
Georgia,Freedom,Mariam Shengelia,14.1
Germany,Baller,Abor & Tynna,14.7
Greece,Asteromáta,Klavdia,2.0
Iceland,RÓA,VÆB,14.1
Ireland,Laika Party,EMMY,15.8
Israel,New Day Will Rise,Yuval Raphael,13.7
Italy,Volevo Essere Un Duro,Lucio Corsi,6.0
Latvia,Bur Man Laimi,Tautumeitas,14.4
Lithuania,Tavo Akys,Katarsis,13.2
Luxembourg,La Poupée Monte Le Son,Laura Thorn,14.4
Malta,SERVING,Miriana Conte,12.8
Montenegro,Dobrodošli,Nina Žižić,10.5
The Netherlands,C'est La Vie,Claude,17.7
Norway,Lighter,Kyle Alessandro,12.8
Poland,GAJA,Justyna Steczkowska,9.8
Portugal,Deslocado,NAPA,16.0
San Marino,Tutta L'Italia,Gabry Ponte,7.9
Serbia,Mila,Princ,12.7
Slovenia,How Much Time Do We Have Left,Klemen,4.4
Spain,ESA DIVA,Melody,21.3
Sweden,Bara Bada Bastu,KAJ,12.9
Switzerland,Voyage,Zoë Më,12.6
Ukraine,Bird of Pray,Ziferblat,6.9
United Kingdom,What The Hell Just Happened?,Remember Monday,4.6
