Year,Place,Points,No.,Country,Performer,Song,Lyrics,Cleaned Lyrics,Language,Topic
2023,1,583,9,Sweden,Loreen,Tattoo,"I don't wanna go
But baby, we both know
This is not our time
It's time to say goodbye
Until we meet again
'Cause this is not the end
It will come a day
When we will find our way
Violins playin' and the angels cryin'
When the stars align, then I'll be there
No, I don't care about them all
'Cause all I want is to be loved
And all I care about is you
You're stuck on me like a tattoo
No, I don't care about the pain
I'll walk through fire and through rain
Just to get closer to you
You're stuck on me like a tattoo
I'm letting my hair down
I'm takin' it cool
You got my heart in your hand
Don't lose it, my friend
It's all that I got
Violins playin' and the angels cryin'
When the stars align, then I'll be there
No, I don't care about them all
'Cause all I want is to be loved
And all I care about is you
You're stuck on me like a tattoo
No, I don't care about the pain
I'll walk through fire and through rain
Just to get closer to you
You're stuck on me like a tattoo
No, I don't care about them all
'Cause all I want is to be loved
And all I care about is you
You're stuck on me like a tattoo
No, I don't care about the pain
I'll walk through fire and through rain
Just to get closer to you
You're stuck on me like a tattoo
All I care about is love
Oh, oh, oh
All I care about is love
You're stuck on me like a tattoo","i don't wanna go
but baby, we both know
this is not our time
it's time to say goodbye
until we meet again
'cause this is not the end
it will come a day
when we will find our way
violins playin' and the angels cryin'
when the stars align, then i'll be there
no, i don't care about them all
'cause all i want is to be loved
and all i care about is you
you're stuck on me like a tattoo
no, i don't care about the pain
i'll walk through fire and through rain
just to get closer to you
you're stuck on me like a tattoo
i'm letting my hair down
i'm takin' it cool
you got my heart in your hand
don't lose it, my friend
it's all that i got
violins playin' and the angels cryin'
when the stars align, then i'll be there
no, i don't care about them all
'cause all i want is to be loved
and all i care about is you
you're stuck on me like a tattoo
no, i don't care about the pain
i'll walk through fire and through rain
just to get closer to you
you're stuck on me like a tattoo
no, i don't care about them all
'cause all i want is to be loved
and all i care about is you
you're stuck on me like a tattoo
no, i don't care about the pain
i'll walk through fire and through rain
just to get closer to you
you're stuck on me like a tattoo
all i care about is love
oh, oh, oh
all i care about is love
you're stuck on me like a tattoo",en,0
2023,2,526,13,Finland,Käärijä,Cha Cha Cha,"Rankka viikko ja paljon pitkii päiviä takan
Mielenkiintona piña colada ja rata
Ilta on vielä nuori ja aikaa kumota
Tää jäinen ulkokuori on aika tuhota
Pidän kaksin käsin kiinni juomista niinku
Cha, cha, cha, cha, cha, cha, cha, ei
En mieti huomista ku tartun tuopista niinku
Cha, cha, cha, cha, cha, cha, cha, ei
Haluun olla sekasin ja vapaa huolista niinku
Cha, cha, cha, cha, cha, cha, cha, ei
Ja mä jatkan kunnes en enää pysy tuolissa niinku
Muutama piña colada on jo takana
Silti mul on vielä naamataulu vakava (yeah, yeah, ye-ye-yeah)
Ilta on vielä nuori ja aikaa kumota
Tää jäinen ulkokuori on aika tuhota
Parketti kutsuu mua ku en oo enää lukossa
Niinku cha cha cha mä oon tulossa
Pidän kaksin käsin kiinni juomista niinku
Cha, cha, cha, cha, cha, cha, cha, ei
En mieti huomista ku tartun tuopista niinku
Cha, cha, cha, cha, cha, cha, cha, ei
Haluun olla sekasin ja vapaa huolista niinku
Cha, cha, cha, cha, cha, cha, cha, ei
Ja mä jatkan kunnes en enää pysy tuolissa niinku vou
Nyt lähden tanssimaan
Niinku cha cha cha
Enkä pelkääkään tätä maailmaa
Niinku cha cha cha
Kun mä kaadan päälleni samppanjaa
Cha, cha, cha, toinen silmä jo karsastaa
Ja puhe sammaltaa ku tää toinen puoli must vallan saa
Cha, cha, cha, en oo arkena tää mies laisinkaan
En oo mut tänään oon se mies, tänään oon se mies
Nyt lähden tanssimaan
Niinku cha cha cha
Enkä pelkääkään tätä maailmaa
Niinku cha cha cha
Kun mä kaadan päälleni samppanjaa
Niinku cha cha cha
Cha, cha, cha, cha, cha, cha, cha, ahaa
Niinku cha cha cha
Cha, cha, cha, cha, cha, cha, cha
Cha, cha, cha, cha, cha, cha, cha","rankka viikko ja paljon pitkii päiviä takan
mielenkiintona piña colada ja rata
ilta on vielä nuori ja aikaa kumota
tää jäinen ulkokuori on aika tuhota
pidän kaksin käsin kiinni juomista niinku
cha, cha, cha, cha, cha, cha, cha, ei
en mieti huomista ku tartun tuopista niinku
cha, cha, cha, cha, cha, cha, cha, ei
haluun olla sekasin ja vapaa huolista niinku
cha, cha, cha, cha, cha, cha, cha, ei
ja mä jatkan kunnes en enää pysy tuolissa niinku
muutama piña colada on jo takana
silti mul on vielä naamataulu vakava (yeah, yeah, ye-ye-yeah)
ilta on vielä nuori ja aikaa kumota
tää jäinen ulkokuori on aika tuhota
parketti kutsuu mua ku en oo enää lukossa
niinku cha cha cha mä oon tulossa
pidän kaksin käsin kiinni juomista niinku
cha, cha, cha, cha, cha, cha, cha, ei
en mieti huomista ku tartun tuopista niinku
cha, cha, cha, cha, cha, cha, cha, ei
haluun olla sekasin ja vapaa huolista niinku
cha, cha, cha, cha, cha, cha, cha, ei
ja mä jatkan kunnes en enää pysy tuolissa niinku vou
nyt lähden tanssimaan
niinku cha cha cha
enkä pelkääkään tätä maailmaa
niinku cha cha cha
kun mä kaadan päälleni samppanjaa
cha, cha, cha, toinen silmä jo karsastaa
ja puhe sammaltaa ku tää toinen puoli must vallan saa
cha, cha, cha, en oo arkena tää mies laisinkaan
en oo mut tänään oon se mies, tänään oon se mies
nyt lähden tanssimaan
niinku cha cha cha
enkä pelkääkään tätä maailmaa
niinku cha cha cha
kun mä kaadan päälleni samppanjaa
niinku cha cha cha
cha, cha, cha, cha, cha, cha, cha, ahaa
niinku cha cha cha
cha, cha, cha, cha, cha, cha, cha
cha, cha, cha, cha, cha, cha, cha",fi,1
2023,3,362,23,Israel,Noa Kirel,Unicorn,"Hey, you don't like the way I'm talking
Hey, so you stand there keep on callin' me names
No, I'm not your enemy, so
If you're gonna do it, don't do it
Hey, do you wanna check my DNA?
Older stories, time to go away
And believe in fairytales, oh
(If you're gonna do it)
I'm gonna stand here like a unicorn
Out here on my own
I got the power of a unicorn
Don't you ever learn?
That I won't look back
I won't look down
I'm going up
You better turn around
The power of a unicorn
The power of a unicorn
History caught in a loop
Don't you wanna change it?
You know that we can, you and me
Can write a new book
Don't you wanna change it now?
It's gonna be
Phenomen, phenomen, phenomenal
Phenomen, phenomenal
Feminine, feminine, feminin-al
I'm gonna stand here like a unicorn
Out here on my own
I got the power of a unicorn
Don't you ever learn?
That I won't look back
I won't look down
I'm going up
You better turn around
The power of a unicorn
The power of a unicorn
It's gonna be
Phenomen, phenomen, phenomenal
Phenomen, phenomenal
אנ'לא כמו כולם
מול כל העולם, לא
It's gonna be
Phenomen, phenomen, phenomenal
Phenomen, phenomenal
You can call me queen
אין לי דאווין, לא
You wanna see me dance?
You wanna see me dance?
You wanna see me dance?!
Watch me!
U-ni-corn!
U-ni-corn!
U-ni-corn!
U-ni-corn!
I'm standing like a-","hey, you don't like the way i'm talking
hey, so you stand there keep on callin' me names
no, i'm not your enemy, so
if you're gonna do it, don't do it
hey, do you wanna check my dna?
older stories, time to go away
and believe in fairytales, oh
(if you're gonna do it)
i'm gonna stand here like a unicorn
out here on my own
i got the power of a unicorn
don't you ever learn?
that i won't look back
i won't look down
i'm going up
you better turn around
the power of a unicorn
the power of a unicorn
history caught in a loop
don't you wanna change it?
you know that we can, you and me
can write a new book
don't you wanna change it now?
it's gonna be
phenomen, phenomen, phenomenal
phenomen, phenomenal
feminine, feminine, feminin-al
i'm gonna stand here like a unicorn
out here on my own
i got the power of a unicorn
don't you ever learn?
that i won't look back
i won't look down
i'm going up
you better turn around
the power of a unicorn
the power of a unicorn
it's gonna be
phenomen, phenomen, phenomenal
phenomen, phenomenal
אנ'לא כמו כולם
מול כל העולם, לא
it's gonna be
phenomen, phenomen, phenomenal
phenomen, phenomenal
you can call me queen
אין לי דאווין, לא
you wanna see me dance?
you wanna see me dance?
you wanna see me dance?!
watch me!
u-ni-corn!
u-ni-corn!
u-ni-corn!
u-ni-corn!
i'm standing like a-",en,0
2023,4,350,11,Italy,Marco Mengoni,Due Vite,"Siamo i soli svegli in tutto l'universo
E non conosco ancora bene il tuo deserto
Forse è in un posto del mio cuore dove il sole è sempre spento
Dove a volte ti perdo, ma se voglio ti prendo
Siamo fermi in un tempo così, che solleva le strade
Con il cielo ad un passo da qui, siamo i mostri e le fate
Dovrei telefonarti, dirti le cose che sento
Ma ho finito le scuse e non ho più difese
Siamo un libro sul pavimento in una casa vuota che sembra la nostra
Il caffè col limone contro l'hangover, sembri una foto mossa
E ci siamo fottuti ancora una notte fuori un locale
E meno male
Se questa è l'ultima canzone e poi la luna esploderà
Sarò lì a dirti che sbagli, ti sbagli e lo sai
Qui non arriva la musica
E tu non dormi e dove sarai? Dove vai?
Quando la vita poi esagera
Tutte le corse, gli schiaffi, gli sbagli che fai
Quando qualcosa ti agita
Tanto lo so che tu non dormi, dormi, dormi, dormi, dormi mai
Che giri fanno due vite
Siamo i soli svegli in tutto l'universo
A gridare un po' di rabbia sopra un tetto
Che nessuno si sente così
Che nessuno li guarda più i film
I fiori nella tua camera
La mia maglia metallica
Siamo un libro sul pavimento in una casa vuota che sembra la nostra
Persi tra le persone, quante parole senza mai una risposta
E ci siamo fottuti ancora una notte fuori un locale
E meno male
Se questa è l'ultima canzone e poi la luna esploderà
Sarò lì a dirti che sbagli, ti sbagli e lo sai
Qui non arriva la musica
E tu non dormi e dove sarai? Dove vai?
Quando la vita poi esagera
Tutte le corse, gli schiaffi, gli sbagli che fai
Quando qualcosa ti agita
Tanto lo so che tu non dormi
Spegni la luce anche se non ti va
Restiamo al buio avvolti solo dal suono della voce
Al di là della follia che balla in tutte le cose
Due vite, guarda che disordine
Se questa è l'ultima (canzone e poi la luna esploderà) canzone
Sarò lì a dirti che sbagli, ti sbagli e lo sai
Qui non arriva la musica
Tanto lo so che tu non dormi, dormi, dormi, dormi, dormi mai
Che giri fanno due vite
Due vite","siamo i soli svegli in tutto l'universo
e non conosco ancora bene il tuo deserto
forse è in un posto del mio cuore dove il sole è sempre spento
dove a volte ti perdo, ma se voglio ti prendo
siamo fermi in un tempo così, che solleva le strade
con il cielo ad un passo da qui, siamo i mostri e le fate
dovrei telefonarti, dirti le cose che sento
ma ho finito le scuse e non ho più difese
siamo un libro sul pavimento in una casa vuota che sembra la nostra
il caffè col limone contro l'hangover, sembri una foto mossa
e ci siamo fottuti ancora una notte fuori un locale
e meno male
se questa è l'ultima canzone e poi la luna esploderà
sarò lì a dirti che sbagli, ti sbagli e lo sai
qui non arriva la musica
e tu non dormi e dove sarai? dove vai?
quando la vita poi esagera
tutte le corse, gli schiaffi, gli sbagli che fai
quando qualcosa ti agita
tanto lo so che tu non dormi, dormi, dormi, dormi, dormi mai
che giri fanno due vite
siamo i soli svegli in tutto l'universo
a gridare un po' di rabbia sopra un tetto
che nessuno si sente così
che nessuno li guarda più i film
i fiori nella tua camera
la mia maglia metallica
siamo un libro sul pavimento in una casa vuota che sembra la nostra
persi tra le persone, quante parole senza mai una risposta
e ci siamo fottuti ancora una notte fuori un locale
e meno male
se questa è l'ultima canzone e poi la luna esploderà
sarò lì a dirti che sbagli, ti sbagli e lo sai
qui non arriva la musica
e tu non dormi e dove sarai? dove vai?
quando la vita poi esagera
tutte le corse, gli schiaffi, gli sbagli che fai
quando qualcosa ti agita
tanto lo so che tu non dormi
spegni la luce anche se non ti va
restiamo al buio avvolti solo dal suono della voce
al di là della follia che balla in tutte le cose
due vite, guarda che disordine
se questa è l'ultima (canzone e poi la luna esploderà) canzone
sarò lì a dirti che sbagli, ti sbagli e lo sai
qui non arriva la musica
tanto lo so che tu non dormi, dormi, dormi, dormi, dormi mai
che giri fanno due vite
due vite",it,3
2023,5,268,20,Norway,Alessandra,Queen of Kings,"She, queen of the kings, runnin' so fast, beatin' the wind
Nothin' in this world can stop the spread of her wings
She, queen of the kings, broken her cage, threw out the keys
She will be the warrior of the North and Southern Seas
Got raven hair, it's dark as night
Icy eyes, outta sight, outta sight
Her heart, in spite, is warm and bright
Her smile awakes the Northern Light
Lookin' out, she calls
""Lai, la-da-di-dai-da
Who will conquer all, all?""
Her name is
She, queen of the kings, runnin' so fast, beatin' the wind
Nothin' in this world can stop the spread of her wings (hey)
She, queen of the kings, broken her cage, threw out the keys
She will be the warrior of the North and Southern Seas
A firestone forged in flames
The wildest card, run the game, run the game
Can't stay the same in this world of change
Don't fear the pain, just break the chain
Lookin' out, she calls
""Lai, la-da-di-dai-da
Who will conquer all, all?""
Her name is
She, queen of the kings, runnin' so fast, beatin' the wind (hey)
Nothin' in this world can stop the spread of her wings
She, queen of the kings, broken her cage, threw out the keys (hey)
She will be the warrior of the North and Southern Seas
Her name is
She, queen of the kings, runnin' so fast, beatin' the wind (hey)
Nothin' in this world can stop the spread of her wings
She, queen of the kings, broken her cage, threw out the keys (hey)
She will be the warrior of the North and Southern Seas (hey)","she, queen of the kings, runnin' so fast, beatin' the wind
nothin' in this world can stop the spread of her wings
she, queen of the kings, broken her cage, threw out the keys
she will be the warrior of the north and southern seas
got raven hair, it's dark as night
icy eyes, outta sight, outta sight
her heart, in spite, is warm and bright
her smile awakes the northern light
lookin' out, she calls
""lai, la-da-di-dai-da
who will conquer all, all?""
her name is
she, queen of the kings, runnin' so fast, beatin' the wind
nothin' in this world can stop the spread of her wings (hey)
she, queen of the kings, broken her cage, threw out the keys
she will be the warrior of the north and southern seas
a firestone forged in flames
the wildest card, run the game, run the game
can't stay the same in this world of change
don't fear the pain, just break the chain
lookin' out, she calls
""lai, la-da-di-dai-da
who will conquer all, all?""
her name is
she, queen of the kings, runnin' so fast, beatin' the wind (hey)
nothin' in this world can stop the spread of her wings
she, queen of the kings, broken her cage, threw out the keys (hey)
she will be the warrior of the north and southern seas
her name is
she, queen of the kings, runnin' so fast, beatin' the wind (hey)
nothin' in this world can stop the spread of her wings
she, queen of the kings, broken her cage, threw out the keys (hey)
she will be the warrior of the north and southern seas (hey)",en,0
2023,6,243,19,Ukraine,TVORCHI,Heart Of Steel,"Sometimes gotta let it go
Sometimes gotta look away
Sometimes you just gotta know
When to stick your middle finger up in the air
I cannot explain
Tell you how I feel (oh, I)
Life is just a game (oh, yeah)
And I'm playing for the win (oh)
Don't be scared to say just what you think
'Cause no matter how bad, someone's listening
Don't care what you say
Don't care how you feel
Get out of my way
'Cause I got a heart of steel
Don't care what you say
Or how you feel
Oh, I got a heart of steel, oh-oh
You just like to act a fool
Tryna get in my head like
When I turn on my headlights
I can see right through you
Tryna get a reaction
I just hit the action move
You know I can never lose
You like the attention too
This has never been about you
Don't be scared to say just what you think
'Cause no matter how bad, someone's listening
Don't care what you say
Don't care how you feel
Get out of my way
'Cause I got a heart of steel
Don't care what you say
Or how you feel
Oh, I got a heart of steel, oh-oh
Don't care what you say
Or how you feel
Oh, I got a heart of steel, oh-oh
","sometimes gotta let it go
sometimes gotta look away
sometimes you just gotta know
when to stick your middle finger up in the air
i cannot explain
tell you how i feel (oh, i)
life is just a game (oh, yeah)
and i'm playing for the win (oh)
don't be scared to say just what you think
'cause no matter how bad, someone's listening
don't care what you say
don't care how you feel
get out of my way
'cause i got a heart of steel
don't care what you say
or how you feel
oh, i got a heart of steel, oh-oh
you just like to act a fool
tryna get in my head like
when i turn on my headlights
i can see right through you
tryna get a reaction
i just hit the action move
you know i can never lose
you like the attention too
this has never been about you
don't be scared to say just what you think
'cause no matter how bad, someone's listening
don't care what you say
don't care how you feel
get out of my way
'cause i got a heart of steel
don't care what you say
or how you feel
oh, i got a heart of steel, oh-oh
don't care what you say
or how you feel
oh, i got a heart of steel, oh-oh
",en,0
2023,7,182,16,Belgium,Gustaph,Because Of You,"And when the world got me going crazy
I'll carry on
And it's all because of you
Because of you
Remember when they told us
""You're not good enough""
And then you came into my life
And you changed my world for good
Told me to love myself a bit harder than yesterday
Well, life is too short, and we sure got to celebrate
And when the world got me going crazy
I carry on
'Cause I know I'm strong
When the world got me going crazy
I carry on
And it's all because of you
Because of you
Remember when they tried to break us?
Well, look at us now
You told me the right thing at the right time
You got me feeling wild
Now I love myself much more than I did yesterday
'Cause life is too short and we sure got to celebrate, hey, yeah
And when the world got me going crazy
I carry on
'Cause I know I'm strong
When the world got me going crazy
I carry on
And it's all because of-
I'll carry on despite of the things they said and done
They'll never kill this fire
Your love will take me higher
It's all because of you
Because of you
Well, because of you
Because of you I keep on going, baby, baby, for a brighter day, yeah
And when the world got me going crazy
I carry on
See, I carry on because of you
When the world got me going crazy
I carry on (said I carry on)
And when the world got me going crazy
See, I will carry on
And it's all because of you
Because of you
Because of you","and when the world got me going crazy
i'll carry on
and it's all because of you
because of you
remember when they told us
""you're not good enough""
and then you came into my life
and you changed my world for good
told me to love myself a bit harder than yesterday
well, life is too short, and we sure got to celebrate
and when the world got me going crazy
i carry on
'cause i know i'm strong
when the world got me going crazy
i carry on
and it's all because of you
because of you
remember when they tried to break us?
well, look at us now
you told me the right thing at the right time
you got me feeling wild
now i love myself much more than i did yesterday
'cause life is too short and we sure got to celebrate, hey, yeah
and when the world got me going crazy
i carry on
'cause i know i'm strong
when the world got me going crazy
i carry on
and it's all because of-
i'll carry on despite of the things they said and done
they'll never kill this fire
your love will take me higher
it's all because of you
because of you
well, because of you
because of you i keep on going, baby, baby, for a brighter day, yeah
and when the world got me going crazy
i carry on
see, i carry on because of you
when the world got me going crazy
i carry on (said i carry on)
and when the world got me going crazy
see, i will carry on
and it's all because of you
because of you
because of you",en,0
2023,8,168,12,Estonia,Alika,Bridges,"Now I’m heading home to solid ground
Realized that all the lies I’ve told myself have died
Bring me to the place where I belong
Filled with all the memories and dreams I have ignored

Aaah, aaah, aaah

There is always time
To get back on track
Tearing down the walls
Slowly every step
Now I see myself
Building up a world of bridges

There is one more thing you need to know
That I forgive myself for all the lies I said before
Now I see the road of leading lights
Showing me where I should go and what to leave behind

Aaah, aaah

There is always time
To get back on track
Tearing down the walls
Slowly every step
Now I see myself
Building up a world of bridges

You will find a way
To begin again
No more time to waste
Or to play pretend
Now I see myself
Building up a world of bridges

I remember all the things that I went through
All the lies and blurry lines and city lights I knew
Now I’m strong enough to see what lays inside
And I can feel it all

There is always time
To get back on track
Tearing down the walls
Slowly every step
Now I see myself
Building up a world of bridges

You will find a way
To begin again
No more time to waste
Or to play pretend
Now I see myself
Building up a world of bridges","now i’m heading home to solid ground
realized that all the lies i’ve told myself have died
bring me to the place where i belong
filled with all the memories and dreams i have ignored

aaah, aaah, aaah

there is always time
to get back on track
tearing down the walls
slowly every step
now i see myself
building up a world of bridges

there is one more thing you need to know
that i forgive myself for all the lies i said before
now i see the road of leading lights
showing me where i should go and what to leave behind

aaah, aaah

there is always time
to get back on track
tearing down the walls
slowly every step
now i see myself
building up a world of bridges

you will find a way
to begin again
no more time to waste
or to play pretend
now i see myself
building up a world of bridges

i remember all the things that i went through
all the lies and blurry lines and city lights i knew
now i’m strong enough to see what lays inside
and i can feel it all

there is always time
to get back on track
tearing down the walls
slowly every step
now i see myself
building up a world of bridges

you will find a way
to begin again
no more time to waste
or to play pretend
now i see myself
building up a world of bridges",en,0
2023,9,151,15,Australia,Voyager,Promise,"Have you ever done anything like this before?
Have you ever done anything like this before?
If you've never done anything like this before
Then you haven't been alive
Have you ever shut all the open doors?
Have you ever just walked on out on your own?
Have you ever just lost your mind when you try to unwind
Or are you coming right back for more?
I'm here tonight
Promise me you'll hold me 'til I die
I'm by your side
Promise me it's gonna
Promise me it's gonna be alright
Ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
Promise me it's gonna be alright
Ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
Promise me it's gonna be alright
(Promise me it's gonna be alright)
Have you ever been alone too much?
Have you ever prayed for human touch?
Have you ever just lost a little part of you
To find a little something new?
Cross my heart
'Til the sky turns red in the sunrise
Since you told me everything's alright
Ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
Since you told me everything's alright
Ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
Promise me it's gonna be alright
I'm here tonight
Promise me you'll hold me till I die
I'm by your side
Promise me it's gonna
Promise me it's gonna
Promise me it's gonna be alright
Alright
Cross my heart
'Til the sky turns red in the sunrise
Promise me it's gonna be alright
(Be alright)
Alright","have you ever done anything like this before?
have you ever done anything like this before?
if you've never done anything like this before
then you haven't been alive
have you ever shut all the open doors?
have you ever just walked on out on your own?
have you ever just lost your mind when you try to unwind
or are you coming right back for more?
i'm here tonight
promise me you'll hold me 'til i die
i'm by your side
promise me it's gonna
promise me it's gonna be alright
ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
promise me it's gonna be alright
ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
promise me it's gonna be alright
(promise me it's gonna be alright)
have you ever been alone too much?
have you ever prayed for human touch?
have you ever just lost a little part of you
to find a little something new?
cross my heart
'til the sky turns red in the sunrise
since you told me everything's alright
ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
since you told me everything's alright
ah-oh, ah-oh, ah-oh, ah-oh-oh-oh
promise me it's gonna be alright
i'm here tonight
promise me you'll hold me till i die
i'm by your side
promise me it's gonna
promise me it's gonna
promise me it's gonna be alright
alright
cross my heart
'til the sky turns red in the sunrise
promise me it's gonna be alright
(be alright)
alright",en,0
2023,10,129,14,Czechia,Vesna,My Sister's Crown,"Moje sestra do kouta nepůjde
Ani tebe poslouchat nebude
Moje sestra v srdci je divoká
Copy zaplést, nikdy si nenechá
Moje sestra do kouta nepůjde
Ani tebe poslouchat nebude
My sister's crown
Don't take it down
Don't take it down
Nobody has the right to do it
She's beautiful
And capable
She is her own queen
She will prove it
You can take your hands back
No one wants more boys dead
We're not your dolls
We're not your dolls
Life's not a moneybag
And blood's on your god's head
You can't steal our souls
You can't steal our souls
Сестро красива
Ой ти сильна
Хоробра єдина
Корона твоя
Сестро красива
Ой ти сильна
Хоробра єдина
Корона твоя
My sister's crown
Don't take it down
Дай ръка не се страхувай
С другите сестри пидплувай
В морето ни няма е място за тези омрази
Пази, пази
Не тъгувай
Хоп троп момите не са нон-стоп на разположение
Ти просто че сме сестри до край знай!
You can take your hands back
No one wants more boys dead
We're not your dolls
We're not your dolls
Life's not a moneybag
And blood's on your god's head
You can't steal our souls
You can't steal our souls
Сестро красива
Ой ти сильна
Хоробра єдина
Корона твоя
Сестро красива
Ой ти сильна
Хоробра єдина
Корона твоя
My sister's crown
Don't take it down
My sister's crown
Don't take it down
All the sisters of the world
Come together with a prayer
Choose love over power
Сестро красива
Ой ти сильна
Хоробра єдина
Корона твоя
Сестро красива
Ой ти сильна
Хоробра єдина
Корона твоя
Сестро красива (My sister's crown)
Ой ти сильна (Don't take it down)
Хоробра єдина
Корона твоя
Сестро красива (My sister's crown)
Ой ти сильна (Don't take it down)
Хоробра єдина
Корона твоя
Сестро красива (My sister's crown)
Ой ти сильна (Don't take it down)
Хоробра єдина
Корона твоя
Сестро красива (My sister's crown)
Ой ти сильна (Don't take it down)
Хоробра єдина
Корона твоя
Jsme v srdcích s tebou
We stand for you","moje sestra do kouta nepůjde
ani tebe poslouchat nebude
moje sestra v srdci je divoká
copy zaplést, nikdy si nenechá
moje sestra do kouta nepůjde
ani tebe poslouchat nebude
my sister's crown
don't take it down
don't take it down
nobody has the right to do it
she's beautiful
and capable
she is her own queen
she will prove it
you can take your hands back
no one wants more boys dead
we're not your dolls
we're not your dolls
life's not a moneybag
and blood's on your god's head
you can't steal our souls
you can't steal our souls
сестро красива
ой ти сильна
хоробра єдина
корона твоя
сестро красива
ой ти сильна
хоробра єдина
корона твоя
my sister's crown
don't take it down
дай ръка не се страхувай
с другите сестри пидплувай
в морето ни няма е място за тези омрази
пази, пази
не тъгувай
хоп троп момите не са нон-стоп на разположение
ти просто че сме сестри до край знай!
you can take your hands back
no one wants more boys dead
we're not your dolls
we're not your dolls
life's not a moneybag
and blood's on your god's head
you can't steal our souls
you can't steal our souls
сестро красива
ой ти сильна
хоробра єдина
корона твоя
сестро красива
ой ти сильна
хоробра єдина
корона твоя
my sister's crown
don't take it down
my sister's crown
don't take it down
all the sisters of the world
come together with a prayer
choose love over power
сестро красива
ой ти сильна
хоробра єдина
корона твоя
сестро красива
ой ти сильна
хоробра єдина
корона твоя
сестро красива (my sister's crown)
ой ти сильна (don't take it down)
хоробра єдина
корона твоя
сестро красива (my sister's crown)
ой ти сильна (don't take it down)
хоробра єдина
корона твоя
сестро красива (my sister's crown)
ой ти сильна (don't take it down)
хоробра єдина
корона твоя
сестро красива (my sister's crown)
ой ти сильна (don't take it down)
хоробра єдина
корона твоя
jsme v srdcích s tebou
we stand for you","bg, en, et",1
