Song,Performer,Year,Predicted_Place,Actual_Place
The Code,Nemo,2024,12.732287,1
Rim Tim Tagi Dim,Baby Lasagna,2024,15.592895,2
Teresa & Maria,alyona alyona & Jerry Heil,2024,7.5882883,3
Mon amour,Slimane,2024,12.710052,4
Hurricane,Eden Golan,2024,8.00066,5
Doomsday Blue,Bambie Thug,2024,13.247584,6
La noia,Angelina Mango,2024,6.8519,7
Jako,LADANIVA,2024,15.082269,8
Unforgettable,Marcus & Martinus,2024,9.853025,9
Grito,iolanda,2024,13.591605,10
ZARI,Marina Satti,2024,6.3614807,11
Always On The Run,ISAAK,2024,15.117505,12
Fighter,TALI,2024,12.584182,13
Luktelk,Silvester Belt,2024,12.85732,14
Liar,Silia Kapsis,2024,16.411907,15
Hollow,Dons,2024,16.553614,16
RAMONDA,TEYA DORA,2024,16.381222,17
Dizzy,Olly Alexander,2024,15.2947035,18
No Rules!,Windows95man,2024,14.911282,19
(nendest) narkootikumidest ei tea me (küll) midagi,5MIINUST x Puuluup,2024,14.304545,20
Firefighter,Nutsa Buzaladze,2024,11.342257,21
ZORRA,Nebulossa,2024,12.524562,22
Veronika,Raiven,2024,15.996969,23
We Will Rave,Kaleen,2024,17.02361,24
Ulveham,Gåte,2024,9.120323,25
